product_name,brands,categories_en,origins_en,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
La Pintade Les Éleveurs de nos Régions,Maître Coq,"Meats,Fresh meats,Poultries,Guinea fowl",France,821.0,13.0,3.3,0.0,0.0,20.0,0.1,0.0
Aiguillettes de Poulet Marinées Huile d'Olive Romarin,Maître Coq,"Meats,Poultries,Chickens,fr:Aiguillettes de poulet",France,444.0,0.9,0.2,1.2,0.0,23.0,0.7,-1.0
Aiguillettes de Dinde Recette Indian Curry,Arrivé,"Meats,Fresh meats,Poultries,Turkeys,fr:aiguillettes-de-dinde",France,427.0,0.8,0.3,1.2,1.2,23.0,0.95,0.0
Aiguillettes de poulet,Maître Coq,"Meats,Poultries,Chickens,fr:Aiguillettes de poulet",France,431.0,1.2,0.4,0.0,0.0,23.0,1.3,1.0
l'extra tendre 3 filets de canards marinés piment d'Espelette,Le Gaulois,fr:viande-marinee,France,669.0,9.0,2.6,1.7,0.7,8.0,0.6,1.0
L'Extra Tendre Filet de Poulet Mariné,Le Gaulois,"Meats,Poultries,Chickens,Chicken breasts",France,436.0,1.6,0.0,0.0,0.0,21.9,0.77,-1.0
Cuisses de poulet roti,Le Gaulois,"Meats,Poultries,Chickens,Cooked poultries,Cooked chicken,Roast chicken",France,703.0,10.0,2.6,0.0,0.0,19.0,1.4,5.0
Cuisses de poulette roti,le Gaulois,"Meats,Prepared meats",France,837.0,13.0,39.0,0.0,0.0,20.0,1.1,16.0
Cuisses de Poulet Rôties ,Le Gaulois,"Meats,Meals,Fresh foods,Poultries,Chickens,Cooked poultries,Cooked chicken,Microwave meals,fr:cuisses-de-poulet-roties",France,741.0,11.0,3.0,1.1,0.7,19.0,1.41,5.0
mini saucissons secs,carrefour,"Meats,Prepared meats,Cured sausages,Dry sausage",France,1983.0,38.0,15.0,3.5,3.5,29.0,4.8,25.0
Pavé au poivre finement tranché,Carrefour,"Meats,Prepared meats,Cured sausages,Rosette dry sausage",France,1351.0,24.0,12.0,3.4,2.1,23.0,4.8,23.0
Mont Blanc Pistache,Mont Blanc,fr:creme-dessert-uht,France,471.0,3.5,1.8,17.0,14.0,2.6,0.15,4.0
cereales petit dejeuner,Joseph Favrichon,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breakfasts,Cereals and their products,Breakfast cereals,Flakes,Mueslis,Mueslis with chocolate",France,1987.0,21.0,7.0,59.0,18.0,8.0,0.0,9.0
Tomme de Savoie IGP,Reflets De France,"Dairies,Fermented foods,Fermented milk products,Cheeses,French cheeses,Mountain products,Mountain cheeses,Tomme cheese from cow's milk,Tomme-cheese-from-mountain-or-savoy",France,1548.0,30.0,23.0,0.5,0.5,25.0,1.5,15.0
